screenshot,origin_city,dest_search,depart_date,return_date,nonstop_filter,search_lowest_price_brl,rank_group,depart_time,arrive_time,next_day_arrival,airline,ticket_type,duration,stops,stop_detail,route,origin_airport,dest_airport,co2_kg,co2_note,price_brl
131822,Sao Paulo,Recife / Joao Pessoa,2027-01-18 (seg),2027-01-25 (seg),No,1380,Principais,16:45,19:50,No,Azul,Normal,3h05,Sem escalas,,CGH-REC,CGH,REC,204,Media de emissoes,1380
131822,Sao Paulo,Recife / Joao Pessoa,2027-01-18 (seg),2027-01-25 (seg),No,1380,Principais,22:15,01:20,Yes,Azul,Normal,3h05,Sem escalas,,CGH-REC,CGH,REC,160,20% menos emissoes,1380
131822,Sao Paulo,Recife / Joao Pessoa,2027-01-18 (seg),2027-01-25 (seg),No,1380,Principais,21:55,01:05,Yes,GOL,Passagens separadas,3h10,Sem escalas,,CGH-REC,CGH,REC,152,24% menos emissoes,1620
131822,Sao Paulo,Recife / Joao Pessoa,2027-01-18 (seg),2027-01-25 (seg),No,1380,Principais,20:05,23:20,No,LATAM,Normal,3h15,Sem escalas,,CGH-JPA,CGH,JPA,183,9% menos emissoes,1717
131822,Sao Paulo,Recife / Joao Pessoa,2027-01-18 (seg),2027-01-25 (seg),No,1380,Outros,12:40,15:45,No,Azul,Normal,3h05,Sem escalas,,CGH-REC,CGH,REC,160,20% menos emissoes,1539
131822,Sao Paulo,Recife / Joao Pessoa,2027-01-18 (seg),2027-01-25 (seg),No,1380,Outros,17:45,11:40,Yes,LATAM,Passagens separadas,17h55,1 parada,13h45 min BSB,VCP-REC,VCP,REC,229,14% mais emissoes,1572
131822,Sao Paulo,Recife / Joao Pessoa,2027-01-18 (seg),2027-01-25 (seg),No,1380,Outros,05:00,08:00,No,Azul,Normal,3h00,Sem escalas,,GRU-REC,GRU,REC,152,24% menos emissoes,1582
131822,Sao Paulo,Recife / Joao Pessoa,2027-01-18 (seg),2027-01-25 (seg),No,1380,Outros,16:40,19:40,No,Azul,Normal,3h00,Sem escalas,,GRU-REC,GRU,REC,152,24% menos emissoes,1582
131929,Rio de Janeiro,Recife / Joao Pessoa,2027-01-18 (seg),2027-01-25 (seg),Yes,1824,Principais,11:05,13:55,No,GOL,Passagens separadas,2h50,Sem escalas,,GIG-REC,GIG,REC,136,30% menos emissoes,1824
131929,Rio de Janeiro,Recife / Joao Pessoa,2027-01-18 (seg),2027-01-25 (seg),Yes,1824,Principais,13:15,16:05,No,GOL,Passagens separadas,2h50,Sem escalas,,GIG-REC,GIG,REC,160,18% menos emissoes,1848
131929,Rio de Janeiro,Recife / Joao Pessoa,2027-01-18 (seg),2027-01-25 (seg),Yes,1824,Principais,14:45,17:35,No,GOL,Passagens separadas,2h50,Sem escalas,,GIG-REC,GIG,REC,160,18% menos emissoes,1848
131929,Rio de Janeiro,Recife / Joao Pessoa,2027-01-18 (seg),2027-01-25 (seg),Yes,1824,Principais,19:05,21:50,No,Azul,Passagens separadas,2h45,Sem escalas,,GIG-REC,GIG,REC,143,27% menos emissoes,1987
